,gene_ids,feature_types,genome,mt,ribo,hb,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts
AL390755.3,ENSG00000287575,Gene Expression,GRCh38,False,False,False,1,0.00020032052,0.00020030045,99.97996794871796,1.0,0.6931472
COL4A1,ENSG00000187498,Gene Expression,GRCh38,False,False,False,2313,1.0957532,0.739913,53.66586538461539,5470.0,8.607217
COL4A2,ENSG00000134871,Gene Expression,GRCh38,False,False,False,2408,1.0322516,0.70914435,51.762820512820504,5153.0,8.547528
COL4A2-AS2,ENSG00000224821,Gene Expression,GRCh38,False,False,False,3,0.00060096156,0.00060078106,99.93990384615384,3.0,1.3862944
COL4A2-AS1,ENSG00000232814,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
RAB20,ENSG00000139832,Gene Expression,GRCh38,False,False,False,946,0.21915065,0.19815442,81.04967948717949,1094.0,6.9985094
AL139385.1,ENSG00000275880,Gene Expression,GRCh38,False,False,False,8,0.0016025641,0.0016012813,99.83974358974359,8.0,2.1972246
NAXD,ENSG00000213995,Gene Expression,GRCh38,False,False,False,1428,0.38020834,0.32223445,71.39423076923077,1898.0,7.5490828
CARS2,ENSG00000134905,Gene Expression,GRCh38,False,False,False,1981,0.5663061,0.44872007,60.31650641025641,2827.0,7.947325
ING1,ENSG00000153487,Gene Expression,GRCh38,False,False,False,2694,1.1889023,0.7834002,46.03365384615385,5935.0,8.68879
LINC00567,ENSG00000259831,Gene Expression,GRCh38,False,False,False,7,0.0014022436,0.0014012614,99.85977564102564,7.0,2.0794415
LINC00346,ENSG00000255874,Gene Expression,GRCh38,False,False,False,16,0.0032051282,0.0032000027,99.67948717948718,16.0,2.8332133
ANKRD10,ENSG00000088448,Gene Expression,GRCh38,False,False,False,2467,0.8385417,0.60897267,50.580929487179496,4186.0,8.33974
ANKRD10-IT1,ENSG00000229152,Gene Expression,GRCh38,False,False,False,8,0.0016025641,0.0016012813,99.83974358974359,8.0,2.1972246
AL442128.2,ENSG00000277767,Gene Expression,GRCh38,False,False,False,17,0.0034054487,0.0033996634,99.65945512820514,17.0,2.8903718
LINC00368,ENSG00000225870,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AL353704.2,ENSG00000286824,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
ARHGEF7-AS2,ENSG00000235875,Gene Expression,GRCh38,False,False,False,8,0.0016025641,0.0016012813,99.83974358974359,8.0,2.1972246
ARHGEF7,ENSG00000102606,Gene Expression,GRCh38,False,False,False,1557,0.4200721,0.35070765,68.81009615384616,2097.0,7.64874
ARHGEF7-IT1,ENSG00000233644,Gene Expression,GRCh38,False,False,False,1,0.00020032052,0.00020030045,99.97996794871796,1.0,0.6931472
ARHGEF7-AS1,ENSG00000227352,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AL353704.1,ENSG00000285856,Gene Expression,GRCh38,False,False,False,2,0.00040064103,0.0004005608,99.9599358974359,2.0,1.0986123
TEX29,ENSG00000153495,Gene Expression,GRCh38,False,False,False,57,0.01181891,0.011749612,98.85817307692307,59.0,4.0943446
AL359649.1,ENSG00000204398,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
LINC02337,ENSG00000215881,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
LINC00354,ENSG00000226903,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
SOX1-OT,ENSG00000224243,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
SOX1,ENSG00000182968,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AL356961.1,ENSG00000260385,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
LINC00404,ENSG00000229520,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
LINC01070,ENSG00000260102,Gene Expression,GRCh38,False,False,False,1,0.00020032052,0.00020030045,99.97996794871796,1.0,0.6931472
LINC01043,ENSG00000260343,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
LINC01044,ENSG00000223626,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
SPACA7,ENSG00000153498,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
TUBGCP3,ENSG00000126216,Gene Expression,GRCh38,False,False,False,533,0.11678686,0.110455684,89.32291666666666,583.0,6.369901
AL139384.2,ENSG00000277159,Gene Expression,GRCh38,False,False,False,22,0.0044070515,0.004397369,99.55929487179486,22.0,3.1354942
ATP11AUN,ENSG00000197595,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AL139384.1,ENSG00000274922,Gene Expression,GRCh38,False,False,False,58,0.01161859,0.011551612,98.83814102564102,58.0,4.0775375
ATP11A,ENSG00000068650,Gene Expression,GRCh38,False,False,False,516,0.11318109,0.10722177,89.66346153846155,565.0,6.338594
ATP11A-AS1,ENSG00000232684,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AL356752.1,ENSG00000277545,Gene Expression,GRCh38,False,False,False,1,0.00020032052,0.00020030045,99.97996794871796,1.0,0.6931472
MCF2L,ENSG00000126217,Gene Expression,GRCh38,False,False,False,1251,0.32351762,0.28029305,74.93990384615384,1615.0,7.387709
AL356740.1,ENSG00000267868,Gene Expression,GRCh38,False,False,False,28,0.0060096155,0.00599163,99.43910256410257,30.0,3.4339871
MCF2L-AS1,ENSG00000235280,Gene Expression,GRCh38,False,False,False,187,0.03886218,0.038126055,96.25400641025641,194.0,5.273
AL356740.2,ENSG00000269356,Gene Expression,GRCh38,False,False,False,5,0.0010016026,0.0010011013,99.89983974358975,5.0,1.7917595
AL356740.3,ENSG00000269376,Gene Expression,GRCh38,False,False,False,76,0.015424679,0.015306928,98.4775641025641,77.0,4.356709
F7,ENSG00000057593,Gene Expression,GRCh38,False,False,False,983,0.24479167,0.21896818,80.30849358974359,1222.0,7.109062
F10,ENSG00000126218,Gene Expression,GRCh38,False,False,False,81,0.016426282,0.01629283,98.37740384615384,82.0,4.4188404
F10-AS1,ENSG00000231882,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AL137002.2,ENSG00000283828,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
PROZ,ENSG00000126231,Gene Expression,GRCh38,False,False,False,12,0.0024038462,0.0024009617,99.75961538461539,12.0,2.5649493
AL137002.1,ENSG00000269125,Gene Expression,GRCh38,False,False,False,10,0.0020032052,0.0020012015,99.79967948717949,10.0,2.3978953
PCID2,ENSG00000126226,Gene Expression,GRCh38,False,False,False,1351,0.34935898,0.29962966,72.93669871794873,1744.0,7.46451
CUL4A,ENSG00000139842,Gene Expression,GRCh38,False,False,False,1965,0.58533657,0.46079674,60.637019230769226,2922.0,7.9803658
LAMP1,ENSG00000185896,Gene Expression,GRCh38,False,False,False,3877,2.2708333,1.1850448,22.335737179487182,11336.0,9.335827
GRTP1,ENSG00000139835,Gene Expression,GRCh38,False,False,False,739,0.17447917,0.16082479,85.1963141025641,871.0,6.7707896
AL136221.1,ENSG00000276434,Gene Expression,GRCh38,False,False,False,16,0.0032051282,0.0032000027,99.67948717948718,16.0,2.8332133
GRTP1-AS1,ENSG00000225083,Gene Expression,GRCh38,False,False,False,3,0.00060096156,0.00060078106,99.93990384615384,3.0,1.3862944
ADPRHL1,ENSG00000153531,Gene Expression,GRCh38,False,False,False,809,0.19551282,0.17857523,83.79407051282051,976.0,6.8844867
DCUN1D2,ENSG00000150401,Gene Expression,GRCh38,False,False,False,941,0.22696315,0.20454213,81.14983974358975,1133.0,7.0335064
DCUN1D2-AS,ENSG00000233613,Gene Expression,GRCh38,False,False,False,7,0.0016025641,0.0016012813,99.85977564102564,8.0,2.1972246
TMCO3,ENSG00000150403,Gene Expression,GRCh38,False,False,False,1442,0.3926282,0.33119276,71.11378205128204,1960.0,7.5812097
AL442125.2,ENSG00000276916,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AL442125.1,ENSG00000276248,Gene Expression,GRCh38,False,False,False,50,0.010216346,0.010164512,98.99839743589743,51.0,3.9512436
TFDP1,ENSG00000198176,Gene Expression,GRCh38,False,False,False,1853,0.5244391,0.42162654,62.88060897435898,2618.0,7.870548
ATP4B,ENSG00000186009,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
GRK1,ENSG00000185974,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
TMEM255B,ENSG00000184497,Gene Expression,GRCh38,False,False,False,353,0.08153045,0.07837712,92.9286858974359,407.0,6.011267
GAS6-AS1,ENSG00000233695,Gene Expression,GRCh38,False,False,False,30,0.0060096155,0.00599163,99.39903846153845,30.0,3.4339871
GAS6,ENSG00000183087,Gene Expression,GRCh38,False,False,False,2449,0.7980769,0.5867177,50.94150641025641,3984.0,8.290293
GAS6-DT,ENSG00000272695,Gene Expression,GRCh38,False,False,False,24,0.0048076925,0.0047961725,99.51923076923077,24.0,3.218876
BX072579.1,ENSG00000237699,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
LINC00454,ENSG00000226921,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
BX072579.2,ENSG00000274766,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
LINC00452,ENSG00000229373,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
LINC00565,ENSG00000260910,Gene Expression,GRCh38,False,False,False,9,0.0020032052,0.0020012015,99.81971153846155,10.0,2.3978953
C13orf46,ENSG00000283199,Gene Expression,GRCh38,False,False,False,8,0.0018028846,0.0018012613,99.83974358974359,9.0,2.3025851
RASA3,ENSG00000185989,Gene Expression,GRCh38,False,False,False,427,0.09054487,0.086677454,91.4463141025641,452.0,6.115892
RASA3-IT1,ENSG00000232487,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
CFAP97D2,ENSG00000283361,Gene Expression,GRCh38,False,False,False,1,0.00020032052,0.00020030045,99.97996794871796,1.0,0.6931472
AL160396.1,ENSG00000283347,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
CDC16,ENSG00000130177,Gene Expression,GRCh38,False,False,False,1941,0.54927886,0.43778956,61.11778846153846,2742.0,7.9168077
AL160396.2,ENSG00000285672,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
UPF3A,ENSG00000169062,Gene Expression,GRCh38,False,False,False,1467,0.3778045,0.32049128,70.61298076923077,1886.0,7.5427437
CHAMP1,ENSG00000198824,Gene Expression,GRCh38,False,False,False,787,0.17948718,0.16507976,84.23477564102564,896.0,6.799056
LINC01054,ENSG00000229723,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
CR383656.10,ENSG00000257959,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
OR11H12,ENSG00000257115,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
LINC02297,ENSG00000257504,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
CR383656.12,ENSG00000258364,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AL929601.1,ENSG00000257891,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AL929601.2,ENSG00000258265,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
POTEM,ENSG00000222036,Gene Expression,GRCh38,False,False,False,3,0.00060096156,0.00060078106,99.93990384615384,3.0,1.3862944
AL929601.3,ENSG00000275563,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AL589182.1,ENSG00000258314,Gene Expression,GRCh38,False,False,False,9,0.0018028846,0.0018012613,99.81971153846155,9.0,2.3025851
AL589743.4,ENSG00000277128,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AL589743.1,ENSG00000257310,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
LINC01297,ENSG00000274827,Gene Expression,GRCh38,False,False,False,157,0.032451924,0.03193648,96.85496794871796,162.0,5.09375
POTEG,ENSG00000187537,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AL512624.2,ENSG00000276888,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AL512310.10,ENSG00000273558,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AL512310.9,ENSG00000259069,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AL512310.2,ENSG00000257395,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
OR11H2,ENSG00000258453,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
OR4N2,ENSG00000176294,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
OR4Q3,ENSG00000182652,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
OR4M1,ENSG00000176299,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
OR4K2,ENSG00000165762,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
OR4K5,ENSG00000176281,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
OR4K1,ENSG00000155249,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
OR4K15,ENSG00000169488,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
OR4K14,ENSG00000169484,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
OR4K13,ENSG00000176253,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
OR4L1,ENSG00000176246,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
OR4K17,ENSG00000176230,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
OR4N5,ENSG00000184394,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
OR11G2,ENSG00000196832,Gene Expression,GRCh38,False,False,False,3,0.00060096156,0.00060078106,99.93990384615384,3.0,1.3862944
OR11H6,ENSG00000176219,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
OR11H4,ENSG00000176198,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
TTC5,ENSG00000136319,Gene Expression,GRCh38,False,False,False,660,0.14823718,0.13822788,86.77884615384616,740.0,6.6080008
AL356019.2,ENSG00000258768,Gene Expression,GRCh38,False,False,False,61,0.012820513,0.012739026,98.77804487179486,64.0,4.1743875
AL356019.1,ENSG00000258459,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
CCNB1IP1,ENSG00000100814,Gene Expression,GRCh38,False,False,False,705,0.15845352,0.14708595,85.87740384615384,791.0,6.6745615
AL355075.6,ENSG00000287735,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AL355075.4,ENSG00000259001,Gene Expression,GRCh38,False,False,False,198,0.041866988,0.041014284,96.03365384615384,209.0,5.3471074
PARP2,ENSG00000129484,Gene Expression,GRCh38,False,False,False,843,0.19471154,0.17790477,83.11298076923077,972.0,6.880384
AL355075.1,ENSG00000254846,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
TEP1,ENSG00000129566,Gene Expression,GRCh38,False,False,False,527,0.115785256,0.109558426,89.44310897435898,578.0,6.3613024
KLHL33,ENSG00000185271,Gene Expression,GRCh38,False,False,False,2,0.00040064103,0.0004005608,99.9599358974359,2.0,1.0986123
OSGEP,ENSG00000092094,Gene Expression,GRCh38,False,False,False,1368,0.32692307,0.28286278,72.59615384615384,1632.0,7.3981743
AL355075.2,ENSG00000258515,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
APEX1,ENSG00000100823,Gene Expression,GRCh38,False,False,False,2973,1.265625,0.81785065,40.44471153846154,6318.0,8.751316
PIP4P1,ENSG00000165782,Gene Expression,GRCh38,False,False,False,1604,0.42608172,0.35493064,67.86858974358974,2127.0,7.6629376
PNP,ENSG00000198805,Gene Expression,GRCh38,False,False,False,1491,0.4130609,0.3457582,70.13221153846155,2062.0,7.6319165
AL355075.3,ENSG00000258908,Gene Expression,GRCh38,False,False,False,1,0.00020032052,0.00020030045,99.97996794871796,1.0,0.6931472
RNASE10,ENSG00000182545,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
RNASE9,ENSG00000188655,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
RNASE11,ENSG00000173464,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AL163195.2,ENSG00000258573,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
RNASE12,ENSG00000258436,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
OR6S1,ENSG00000181803,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
ANG,ENSG00000214274,Gene Expression,GRCh38,False,False,False,1197,0.30929488,0.26948872,76.02163461538461,1544.0,7.342779
RNASE4,ENSG00000258818,Gene Expression,GRCh38,False,False,False,1386,0.38501602,0.3257117,72.23557692307692,1922.0,7.5616417
AL163636.1,ENSG00000258451,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
EDDM3A,ENSG00000181562,Gene Expression,GRCh38,False,False,False,3,0.00060096156,0.00060078106,99.93990384615384,3.0,1.3862944
EDDM3B,ENSG00000181552,Gene Expression,GRCh38,False,False,False,3,0.00060096156,0.00060078106,99.93990384615384,3.0,1.3862944
RNASE6,ENSG00000169413,Gene Expression,GRCh38,False,False,False,710,0.17307693,0.15963015,85.77724358974359,864.0,6.7627296
AL133371.2,ENSG00000258810,Gene Expression,GRCh38,False,False,False,4,0.00080128206,0.0008009612,99.9198717948718,4.0,1.609438
RNASE1,ENSG00000129538,Gene Expression,GRCh38,False,False,False,3553,1.9699519,1.0885458,28.826121794871796,9834.0,9.193703
AL133371.3,ENSG00000259130,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AL133371.1,ENSG00000258642,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
RNASE3,ENSG00000169397,Gene Expression,GRCh38,False,False,False,4,0.00080128206,0.0008009612,99.9198717948718,4.0,1.609438
AL355922.4,ENSG00000258918,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AL355922.3,ENSG00000258772,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AL355922.1,ENSG00000136315,Gene Expression,GRCh38,False,False,False,1,0.00020032052,0.00020030045,99.97996794871796,1.0,0.6931472
RNASE2,ENSG00000169385,Gene Expression,GRCh38,False,False,False,57,0.011418269,0.011353573,98.85817307692307,57.0,4.060443
METTL17,ENSG00000165792,Gene Expression,GRCh38,False,False,False,1164,0.29346955,0.25732818,76.6826923076923,1465.0,7.2902927
AL161668.3,ENSG00000258471,Gene Expression,GRCh38,False,False,False,9,0.0018028846,0.0018012613,99.81971153846155,9.0,2.3025851
SLC39A2,ENSG00000165794,Gene Expression,GRCh38,False,False,False,25,0.005008013,0.0049955146,99.49919871794873,25.0,3.2580965
NDRG2,ENSG00000165795,Gene Expression,GRCh38,False,False,False,2229,0.7151442,0.5394972,55.348557692307686,3570.0,8.180601
TPPP2,ENSG00000179636,Gene Expression,GRCh38,False,False,False,1,0.00020032052,0.00020030045,99.97996794871796,1.0,0.6931472
AL161668.4,ENSG00000258604,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AL161668.2,ENSG00000255472,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
RNASE13,ENSG00000206150,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
RNASE7,ENSG00000165799,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
RNASE8,ENSG00000173431,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
ARHGEF40,ENSG00000165801,Gene Expression,GRCh38,False,False,False,966,0.22215545,0.20061606,80.64903846153845,1109.0,7.0121155
ZNF219,ENSG00000165804,Gene Expression,GRCh38,False,False,False,1007,0.2411859,0.2160673,79.82772435897436,1204.0,7.094235
TMEM253,ENSG00000232070,Gene Expression,GRCh38,False,False,False,15,0.0030048077,0.0030003022,99.69951923076923,15.0,2.7725887
AL161668.1,ENSG00000178107,Gene Expression,GRCh38,False,False,False,4,0.00080128206,0.0008009612,99.9198717948718,4.0,1.609438
OR5AU1,ENSG00000169327,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
LINC00641,ENSG00000258441,Gene Expression,GRCh38,False,False,False,164,0.035456732,0.034842618,96.71474358974359,177.0,5.1817837
HNRNPC,ENSG00000092199,Gene Expression,GRCh38,False,False,False,4266,3.5793269,1.521552,14.54326923076923,17868.0,9.790823
RPGRIP1,ENSG00000092200,Gene Expression,GRCh38,False,False,False,12,0.0024038462,0.0024009617,99.75961538461539,12.0,2.5649493
SUPT16H,ENSG00000092201,Gene Expression,GRCh38,False,False,False,2030,0.6436298,0.4969071,59.334935897435905,3213.0,8.075272
AL135744.1,ENSG00000260830,Gene Expression,GRCh38,False,False,False,12,0.0024038462,0.0024009617,99.75961538461539,12.0,2.5649493
CHD8,ENSG00000100888,Gene Expression,GRCh38,False,False,False,1573,0.40885416,0.34277672,68.48958333333333,2041.0,7.621685
RAB2B,ENSG00000129472,Gene Expression,GRCh38,False,False,False,698,0.15985577,0.14829566,86.0176282051282,798.0,6.683361
TOX4,ENSG00000092203,Gene Expression,GRCh38,False,False,False,1632,0.45352563,0.3739921,67.3076923076923,2264.0,7.72533
METTL3,ENSG00000165819,Gene Expression,GRCh38,False,False,False,1482,0.40645033,0.34106904,70.3125,2029.0,7.615791
SALL2,ENSG00000165821,Gene Expression,GRCh38,False,False,False,459,0.10576923,0.10054123,90.80528846153845,528.0,6.2709885
AL161747.2,ENSG00000257096,Gene Expression,GRCh38,False,False,False,2,0.00040064103,0.0004005608,99.9599358974359,2.0,1.0986123
OR10G3,ENSG00000169208,Gene Expression,GRCh38,False,False,False,2,0.00040064103,0.0004005608,99.9599358974359,2.0,1.0986123
TRAV1-1,ENSG00000255569,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
OR10G2,ENSG00000255582,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
TRAV1-2,ENSG00000256553,Gene Expression,GRCh38,False,False,False,2,0.00040064103,0.0004005608,99.9599358974359,2.0,1.0986123
OR4E2,ENSG00000221977,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
OR4E1,ENSG00000276240,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
TRAV2,ENSG00000211776,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AC243972.1,ENSG00000248358,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
TRAV3,ENSG00000211777,Gene Expression,GRCh38,False,False,False,1,0.00020032052,0.00020030045,99.97996794871796,1.0,0.6931472
TRAV4,ENSG00000211778,Gene Expression,GRCh38,False,False,False,16,0.0032051282,0.0032000027,99.67948717948718,16.0,2.8332133
TRAV5,ENSG00000211779,Gene Expression,GRCh38,False,False,False,4,0.00080128206,0.0008009612,99.9198717948718,4.0,1.609438
TRAV6,ENSG00000211780,Gene Expression,GRCh38,False,False,False,2,0.00040064103,0.0004005608,99.9599358974359,2.0,1.0986123
TRAV7,ENSG00000211781,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
TRAV8-1,ENSG00000211782,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
TRAV9-1,ENSG00000211783,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
TRAV10,ENSG00000211784,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
TRAV11,ENSG00000256474,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
TRAV12-1,ENSG00000211785,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
TRAV8-2,ENSG00000211786,Gene Expression,GRCh38,False,False,False,1,0.00020032052,0.00020030045,99.97996794871796,1.0,0.6931472
TRAV8-3,ENSG00000211787,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
TRAV13-1,ENSG00000211788,Gene Expression,GRCh38,False,False,False,2,0.00040064103,0.0004005608,99.9599358974359,2.0,1.0986123
TRAV12-2,ENSG00000211789,Gene Expression,GRCh38,False,False,False,1,0.00020032052,0.00020030045,99.97996794871796,1.0,0.6931472
TRAV8-4,ENSG00000211790,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
TRAV8-5,ENSG00000256379,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
TRAV13-2,ENSG00000211791,Gene Expression,GRCh38,False,False,False,1,0.00020032052,0.00020030045,99.97996794871796,1.0,0.6931472
TRAV14DV4,ENSG00000211792,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
TRAV9-2,ENSG00000211793,Gene Expression,GRCh38,False,False,False,2,0.00040064103,0.0004005608,99.9599358974359,2.0,1.0986123
TRAV15,ENSG00000258482,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
TRAV12-3,ENSG00000211794,Gene Expression,GRCh38,False,False,False,2,0.00040064103,0.0004005608,99.9599358974359,2.0,1.0986123
TRAV8-6,ENSG00000211795,Gene Expression,GRCh38,False,False,False,2,0.00040064103,0.0004005608,99.9599358974359,2.0,1.0986123
TRAV16,ENSG00000211796,Gene Expression,GRCh38,False,False,False,1,0.00020032052,0.00020030045,99.97996794871796,1.0,0.6931472
TRAV17,ENSG00000211797,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
TRAV18,ENSG00000211798,Gene Expression,GRCh38,False,False,False,2,0.00040064103,0.0004005608,99.9599358974359,2.0,1.0986123
TRAV19,ENSG00000211799,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
TRAV20,ENSG00000211800,Gene Expression,GRCh38,False,False,False,2,0.00040064103,0.0004005608,99.9599358974359,2.0,1.0986123
TRAV21,ENSG00000211801,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
TRAV22,ENSG00000211802,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
TRAV23DV6,ENSG00000211803,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
TRDV1,ENSG00000211804,Gene Expression,GRCh38,False,False,False,2,0.00040064103,0.0004005608,99.9599358974359,2.0,1.0986123
TRAV24,ENSG00000211805,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
